Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
110,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171393,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
111,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171592,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
112,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171610,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
113,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171611,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
114,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171612,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
115,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171613,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
116,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171614,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
117,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/172029,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
118,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171728,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
119,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182255,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
120,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182256,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
121,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182254,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
122,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182258,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
123,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182257,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
124,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182259,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
125,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182263,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
126,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182264,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
127,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/183845,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
128,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187362,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
129,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186925,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
130,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171626,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
131,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171625,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
132,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171724,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
133,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171727,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
134,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171624,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
135,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186924,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
136,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186926,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
137,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186942,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
138,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187363,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
139,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187364,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
140,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187365,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
141,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187588,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
142,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187595,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
143,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171619,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
144,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171622,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
145,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184343,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
146,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184543,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
147,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186921,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
148,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186922,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
149,Andhra Pradesh,Construction of veterinary hospitals and dispensaries,WS/MP18007/2024-2025/140066,Kakinada(DISTRICT COLLECTOR KAKINADA_IDA),Putta Mahesh Kumar,ELURU,27-Aug-26,VIJAYA VIKRAM CONSTRUCTIONS,Payment In-Progress,1097173
150,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18156/2025-2026/213063,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),31-Aug-26,SHRI GURU NANAK INTERLOCKING CEMENT TILE,Payment In-Progress,149110
151,West Bengal,Construction of stadiums,WS/MP18272/2026-2027/222318,Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA),KALIPADA SAREN,JHARGRAM(ST),17-Aug-26,RAJAT SUBHRA MANDAL,Payment In-Progress,4881631
152,Jharkhand,Construction of footpaths and pedestrian ways,WS/MP18072/2026-2027/283708,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-26,BIRENDRA KUMAR MAHATO,Payment In-Progress,140000
153,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/277322,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-26,BIRENDRA KUMAR MAHATO,Payment In-Progress,150000
154,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18072/2026-2027/275551,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-26,BIRENDRA KUMAR MAHATO,Payment In-Progress,200000
155,Jharkhand,Providing drains and gutters for public drainage,WS/MP18072/2026-2027/276179,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-26,BIRENDRA KUMAR MAHATO,Payment In-Progress,125000
156,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/273078,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-26,BIRENDRA KUMAR MAHATO,Payment In-Progress,165000
157,Jharkhand,Providing drains and gutters for public drainage,WS/MP18072/2026-2027/230798,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-26,BIRENDRA KUMAR MAHATO,Payment In-Progress,200000
158,Jharkhand,Construction of community centers and community halls,WS/MP18072/2026-2027/261891,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-26,BIRENDRA KUMAR MAHATO,Payment In-Progress,375000
159,Jharkhand,Construction of footpaths and pedestrian ways,WS/MP18072/2026-2027/277323,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-26,BIRENDRA KUMAR MAHATO,Payment In-Progress,190000
160,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2026-2027/277325,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-26,BIRENDRA KUMAR MAHATO,Payment In-Progress,175000
161,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2026-2027/277324,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-26,BIRENDRA KUMAR MAHATO,Payment In-Progress,225000
162,Jharkhand,Construction of footpaths and pedestrian ways,WS/MP18072/2026-2027/276178,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-26,BIRENDRA KUMAR MAHATO,Payment In-Progress,85000
163,Jharkhand,Construction of community centers and community halls,WS/MP18072/2026-2027/276176,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-26,BIRENDRA KUMAR MAHATO,Payment In-Progress,375000
164,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/273079,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-26,BIRENDRA KUMAR MAHATO,Payment In-Progress,165000
165,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP18072/2026-2027/273080,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),DULU MAHATO,DHANBAD,31-Aug-26,BIRENDRA KUMAR MAHATO,Payment In-Progress,165000
166,Kerala,Purchase of vans and buses for educational institutions,WS/MP18305/2026-2027/302713,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),E.T. MOHAMMED BASHEER,MALAPPURAM,24-Aug-26,SML ISUZU LTD,Payment In-Progress,1768000
167,Kerala,Purchase of vans and buses for educational institutions,WS/MP18305/2026-2027/302829,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),E.T. MOHAMMED BASHEER,MALAPPURAM,29-Aug-26,SML ISUZU LTD,Payment In-Progress,1976000
168,Tamil Nadu,Lighting of public spaces,WS/MP746/2026-2027/232927,RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA),Kani K Navas,RAMANATHAPURAM,28-Aug-26,FPLUS ENTERPRISES,Payment In-Progress,430000
169,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP856/2025-2026/231387,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,08-Aug-26,MRK CONSTRUCTIONS,Payment In-Progress,133800
170,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Sidhu Cement Store Fatehgarh Channa,Payment In-Progress,44630
171,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Sidhu Cement Store Fatehgarh Channa,Payment In-Progress,17920
172,Punjab,Purchase of mobile water tankers,WS/MP18311/2026-2027/287163,S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA),MALVINDER SINGH KANG,ANANDPUR SAHIB,10-Aug-26,DASHMESH ENGG WORKS,Payment In-Progress,350000
173,Jharkhand,Providing drains and gutters for public drainage,WS/MP18072/2025-2026/226948,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),DULU MAHATO,DHANBAD,27-Aug-26,SABBIR ANSARI,Payment In-Progress,375000
174,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2025-2026/225052,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),DULU MAHATO,DHANBAD,27-Aug-26,SABBIR ANSARI,Payment In-Progress,244000
175,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP494/2025-2026/226492,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,SAI ENTERPRISES,Payment In-Progress,556999
176,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP494/2025-2026/226497,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,287553
177,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226500,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66175
178,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226507,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,65762
179,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226509,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66077
180,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226510,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66054
181,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226502,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66175
182,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226503,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66175
183,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226504,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66175
184,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226505,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66175
185,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226501,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66175
186,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP494/2025-2026/226499,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,979484
187,Jharkhand,Installing tube-wells and borewells,WS/MP334/2025-2026/223476,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,26-Aug-26,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,70000
188,Jharkhand,Installing tube-wells and borewells,WS/MP334/2025-2026/223481,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,26-Aug-26,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,25000
189,Jharkhand,Installing tube-wells and borewells,WS/MP334/2025-2026/211258,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,26-Aug-26,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,25000
190,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP334/2025-2026/211607,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,26-Aug-26,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,25000
191,Karnataka,Construction of buildings for training institutions,WS/MP18093/2026-2027/217128,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,05-Aug-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000
192,Karnataka,Installing tube-wells and borewells,WS/MP18093/2026-2027/217130,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,27-Jul-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,375000
193,Odisha,Construction of community centers and community halls,WS/MP300/2026-2027/226384,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,29-Aug-26,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,3000
194,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18082/2025-2026/187502,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),10-Aug-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,250000
195,Punjab,Construction of rooms and halls in school and colleges,WS/MP381/2026-2027/275251,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,25-Aug-26,SURINDER TRADERS,Payment In-Progress,495474
196,Punjab,Construction of rooms and halls in school and colleges,WS/MP381/2026-2027/275258,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,25-Aug-26,SURINDER TRADERS,Payment In-Progress,498148
197,Tamil Nadu,Construction of community centers and community halls,WS/MP017/2025-2026/257980,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),S. Jagathrakshakan,ARAKKONAM,27-Aug-26,Raveendhra G,Payment In-Progress,1599822
198,Karnataka,Construction of additional rooms and halls in the existing public and community building,WS/MP18082/2025-2026/242466,CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),31-Aug-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,375000
199,Karnataka,Construction of community centers and community halls,WS/MP18093/2026-2027/228510,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,02-Jul-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000
200,Punjab,Purchase of mobile water tankers,WS/MP18311/2026-2027/280988,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),MALVINDER SINGH KANG,ANANDPUR SAHIB,28-Aug-26,DASHMESH ENGG WORKS,Payment In-Progress,350000
201,Karnataka,Construction of community centers and community halls,WS/MP337/2026-2027/247788,SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA),Shri B Y Raghavendra,SHIMOGA,29-Aug-26,Nirmithi Kendra Shivamogga,Payment In-Progress,367500
202,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP417/2025-2026/215032,NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA),Kaushalendra Kumar,NALANDA,29-Aug-26,ADARSH KUMAR,Payment In-Progress,296919
203,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP417/2025-2026/222071,NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA),Kaushalendra Kumar,NALANDA,27-Aug-26,simpi,Payment In-Progress,395705
204,Tamil Nadu,Lighting of public spaces,WS/MP18179/2026-2027/245271,Mayiladuthurai(District Collector Mayiladuthurai_IDA),SUDHA R,MAYILADUTHURAI,24-Aug-26,SRI SAI ENTERPRISES,Payment In-Progress,900000
205,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Dhanaula BKO,Payment In-Progress,6560
206,Karnataka,Setting up of laboratories,WS/MP18078/2026-2027/248997,BALLARI(DEPUTY COMMISSIONER BELLARY_IDA),E. TUKARAM,BELLARY(ST),24-Aug-26,Bellary Nirmithi Kendra Bellary,Payment In-Progress,1125000
207,Tamil Nadu,Purchase of furniture and fixtures for educational purposes,WS/MP017/2026-2027/280375,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),S. Jagathrakshakan,ARAKKONAM,31-Aug-26,Sathya Enterprises,Payment In-Progress,625000
208,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,BHAGWATI STEELS,Payment In-Progress,240226
209,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Karan Intelock Tiles,Payment In-Progress,34380
210,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Karan Intelock Tiles,Payment In-Progress,21201
211,Tamil Nadu,Purchase of books and periodicals for libraries/digitization of library books,WS/MP746/2025-2026/212906,RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA),Kani K Navas,RAMANATHAPURAM,01-Apr-26,Nava India Pathipagam,Payment In-Progress,500000
212,Andhra Pradesh,Setting up public non-conventional energy plants,WS/MP522/2025-2026/260876,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,SRIKAKULAM,31-Aug-26,VIRAT MODY SOLAR SITY,Payment In-Progress,888865
213,Tamil Nadu,Street lights,WS/MP18177/2025-2026/156784,TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA),K E PRAKASH,ERODE,16-Apr-26,QUALITTY ENTERPRISES,Payment In-Progress,400000
214,Tamil Nadu,Construction of bus-sheds or bus-stops,WS/MP18179/2026-2027/245281,Mayiladuthurai(District Collector Mayiladuthurai_IDA),SUDHA R,MAYILADUTHURAI,13-Aug-26,Jothiprakash V,Payment In-Progress,595689
215,Punjab,Installing tube-wells and borewells,WS/MP18158/2026-2027/261347,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),DR DHARAMVIRA GANDHI,PATIALA,26-Aug-26,SHAM LAL BAL MUKAND,Payment In-Progress,86730
216,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP477/2026-2027/274283,ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),Ajay Tamta,ALMORA(SC),27-Aug-26,bdo lamgara royalty,Payment In-Progress,11058
217,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP453/2025-2026/261379,KORAPUT(District Collector Koraput_IDA),Saptagiri Sankar Ulaka,KORAPUT(ST),30-Aug-26,RAJIB SINGH,Payment In-Progress,200000
