state,mp_name,constituency,allocated_amount,house,source_file,election_type
West Bengal,Shatrughan Sinha,ASANSOL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Punjab,SHER SINGH GHUBAYA,FIROZPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,SHIVMANGAL SINGH TOMAR,MORENA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,SHIVRAJ SINGH CHOUHAN,VIDISHA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,SHOBHA KARANDLAJE,BANGALORE NORTH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,SHOBHANABEN MAHENDRASINH BARAIYA,SABARKANTHA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,SHREYAS. M. PATEL,HASSAN,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Haryana,Shri  Dharambir Singh,BHIWANI MAHENDRAGARH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Shri Abhishek Banerjee,DIAMOND HARBOUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Punjab,Shri Amar Singh,FATEHGARH SAHIB(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,Shri Amit Shah,GANDHINAGAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Shri Anil Firojiya,UJJAIN(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,Shri Arjun Ram Meghwal,BIKANER(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,Shri B Y Raghavendra,SHIMOGA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,Shri Benny Behanan,CHALAKUDY,164674770.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,Shri Bhartruhari Mahtab,CUTTACK,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jharkhand,Shri Chandra Prakash Choudhary,GIRIDIH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Shri Deepak (Dev) Adhikari,GHATAL,200747364.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,Shri Hanuman Beniwal,NAGAUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,Shri Hibi Eden,ERNAKULAM,162177260.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Shri Janardan Singh Sigriwal,MAHARAJGANJ_BR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,Shri Jual Oram,SUNDARGARH (ST),173096756.9,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jammu And Kashmir,Shri Jugal Kishore Sharma,JAMMU,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Shri Jyotirmay Singh Mahato,PURULIA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,Shri Karti P Chidambaram,SIVAGANGA,159049284.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,Shri Kumbakudi Sudhakaran,KANNUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,Shri LS Tejasvi Surya,BANGALORE SOUTH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,Shri M K Raghavan,KOZHIKODE,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Shri Narendra Modi,VARANASI,162070276.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,Shri NK Premachandran,KOLLAM,171477994.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,Shri PP Chaudhary,PALI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,Shri Rajmohan Unnithan,KASARAGOD,156754633.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Assam,Shri Sarbananda Sonowal (18LS),DIBRUGARH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Shri Satish Kumar Gautam,ALIGARH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Shri Shantanu Thakur,BANGAON(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Shri Sudheer Gupta,MANDSOUR,148988014.8,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,Shri Suresh Kodikunnil,MAVELIKKARA(SC),172429519.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Arunachal Pradesh,Shri Tapir Gao,ARUNACHAL EAST,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,Shri vijayakumar Vasanth,KANNIYAKUMARI,171500000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Shrikant Eknath Shinde,KALYAN,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SATARA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Goa,Shripad Yesso Naik,NORTH GOA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Shrirang Appa Barne,MAVAL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Shyamkumar,RAMTEK(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Sivanath Kesineni,VIJAYAWADA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,SK NURUL ISLAM,BASIRHAT,49000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,SMITA UDAY WAGH,JALGAON,148107373.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Smt Anupriya Patel,MIRZAPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,Smt Aparajita Sarangi,BHUBANESWAR,147420861.4,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Smt Dimple Yadav,MAINPURI,192042469.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Punjab,Smt Harsimrat Kaur Badal,BHATINDA,159775982.4,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Smt Hema Malini,MATHURA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Smt Himadri Singh,SHAHDOL (ST),150724861.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,Smt Poonamben Hematbhai Maadam,JAMNAGAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Smt Raksha Nikhil Khadse,RAVER,153112586.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,Smt S Jothimani,KARUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Smt Sajda Ahmed,ULUBERIA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Smt Sandhya Ray,BHIND(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,Smt Sangeeta Kumari Singh Deo,BOLANGIR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Smt Satabdi Roy (Banerjee),BIRBHUM,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Smt Supriya Sadanand Sule,BARAMATI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Smt Veena Devi,VAISHALI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Sribharat MathuKumli,VISAKHAPATNAM,164841922.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,SUDAMA PRASAD,ARRAH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,SUDHA R,MAYILADUTHURAI,147332315.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,SUDHAKAR SINGH,BUXAR,185211956.5,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Sudip Bandyopadhyay,KOLKATA UTTAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,SUKANTA KUMAR PANIGRAHI,KANDHAMAL,190712424.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jharkhand,SUKHDEO BHAGAT,LOHARDAGA(ST),171821957.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Punjab,SUKHJINDER SINGH RANDHAWA,GURDASPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,SUNIL BOSE,CHAMARAJANAGAR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Sunil Dattatray Tatkare,RAIGAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Sunil Kumar,VALMIKI NAGAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,SURENDRA PRASAD YADAV,JAHANABAD,155325714.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,SURESH GOPI,THRISSUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Himachal Pradesh,Suresh Kumar Kashyap,SHIMLA (SC),153563957.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,SURESH KUMAR SHETKAR,ZAHIRABAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Swami Sachchidanandhari Sakshi ji Maharaj,UNNAO,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,T Sumathy (A) Thamizhachi Thangapandian,CHENNAI SOUTH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,TANGELLA UDAY SRINIVAS,KAKINADA,199417886.8,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,TANUJ PUNIA,BARABANKI(SC),148198170.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,TARIQ ANWAR,KATIHAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,Thalikkottai Rajuthevar Baalu,SRIPERUMBUDUR,196905535.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,THANGA TAMILSELVAN,THENI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,THARANIVENTHAN M S,ARANI,168337124.4,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,Thiru Dayanidhi Maran,CHENNAI CENTRAL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,Thirumaa Valavan Thol,CHIDAMBARAM(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Chhattisgarh,TOKHAN SAHU,BILASPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttarakhand,TRIVENDRA SINGH RAWAT,HARDWAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,UJJWAL RAMAN SINGH,ALLAHABAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,UMMEDA RAM BENIWAL,BARMER,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,UTKARSH VERMA MADHUR,KHERI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,V S Matheswaran,NAMAKKAL,162539930.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,V. SOMANNA,TUMKUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Puducherry,Vaithilingam Ve,Puducherry,209368972.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,VAMSI KRISHNA GADDAM,PEDDAPALLE,148451721.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Haryana,VARUN CHAUDHRY,AMBALA (SC),255454264.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,167807990.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Chhattisgarh,Vijay Baghel,DURG,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Vijay Kumar Dubey,KUSHI NAGAR,148900000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jharkhand,Vijay Kumar Hansdak,RAJMAHAL(ST),147223957.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,VIJAYLAKSHMI DEVI,SIWAN,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,Vinod Chavda,KACHCHH(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,VINOD KUMAR BIND,BHADOHI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Virendra Kumar,TIKAMGARH(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,VIRENDRA SINGH,CHANDAULI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,VISHAL,SANGLI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jharkhand,Vishnu Dayal Ram,PALAMU(SC),158176083.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Vishnu Dutt Sharma,KHAJURAHO,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,VISHWESHWAR HEGDE KAGERI,UTTARA KANNADA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,VIVEK THAKUR,NAWADA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Y S Avinash Reddy,KADAPA,156430260.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,MYSORE,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Delhi,Yogendra Chandoliya,NORTH WEST DELHI(SC),147876307.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,ZIA UR REHMAN,SAMBHAL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
,,,83180553325.71,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,Dr. Abhishek Manu Singhvi (2026-32) (2026-2032),,73421449.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Maharashtra,Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Rajasthan,Dr. Alka Singh (2026-32) (2026-2032),,49000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Tamil Nadu,Dr. Anbumani Ramadoss (2026-32) (2026-2032),,49356476.5,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Maharashtra,Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),,196063957.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Punjab,Dr. Ashok Kumar Mittal (2022-28) (2022-2028),,222487632.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Bihar,Dr. Bhim Singh (2024-30) (2024-2030),,186200000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Karnataka,Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),,196063957.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Nominated MP
Bihar,Dr. Dharmshila Gupta (2024-30) (2024-2030),,186200000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Uttar Pradesh,Dr. Dinesh Sharma (2023-26) (2023-2026),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Bihar,Dr. Faiyaz Ahmad (2022-28) (2022-2028),,235263957.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Kerala,Dr. John Brittas (2021-27) (2021-2027),,245063957.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Maharashtra,Dr. Jyoti Nagnath Waghmare (2026-32) (2026-2032),,49000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Uttar Pradesh,Dr. K. Laxman (2022-28) (2022-2028),,197637007.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Uttarakhand,Dr. Kalpana Saini (2022-28) (2022-2028),,200830405.8,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Madhya Pradesh,Dr. Kavita Patidar (2022-28) (2022-2028),,197118521.4,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Madhya Pradesh,Dr. L. Murugan (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Uttar Pradesh,Dr. Laxmikant Bajpayee (2022-28) (2022-2028),,196000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Tamil Nadu,Dr. M. Dhanapal (2025-31) (2025-2031),,89248285.42,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Tamil Nadu,Dr. M. Thambi Durai (2026-32) (2026-2032),,49356476.5,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Maharashtra,Dr. Medha Vishram Kulkarni (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Delhi,Dr. Meenakshi Jain (2025-31) (2025-2031),,73500000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Nominated MP
Gujarat,Dr. Mukeshbhai J. Rathwa (2026-32) (2026-2032),,49000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Gujarat,Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Uttar Pradesh,Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028),,203626524.7,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Punjab,Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),,232203454.2,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Uttar Pradesh,Dr. Sangeeta Balwant (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Odisha,Dr. Santrupt Misra (2026-32) (2026-2032),,49000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Jharkhand,Dr. Sarfraz Ahmad (2024-30) (2024-2030),,178564551.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Odisha,Dr. Sasmit Patra (2022-28) (2022-2028),,196063957.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Rajasthan,Dr. Satish Poonia (2026-32) (2026-2032),,49000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Himachal Pradesh,Dr. Sikander Kumar (2022-28) (2022-2028),,207863957.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Uttar Pradesh,Dr. Sudhanshu Trivedi (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Karnataka,Dr. Syed Naseer Hussain (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Kerala,Dr. V. Sivadasan (2021-27) (2021-2027),,276720323.3,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Punjab,Dr. Vikramjit Singh Sahney (2022-28) (2022-2028),,198656208.6,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
West Bengal,Ms. Dola Sen (2023-29) (2023-2029),,171500000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Delhi,Ms. Swati Maliwal (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Bihar,Prof. Manoj Kumar Jha (2024-30) (2024-2030),,191620112.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Uttar Pradesh,Prof. Ram Gopal Yadav (2020-26) (2020-2026),,221271395.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Kerala,Shri A. A. Rahim (2022-28) (2022-2028),,220563957.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Kerala,Shri Abdul Wahab (2021-27) (2021-2027),,310898953.3,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Jharkhand,Shri Aditya Prasad (2022-28) (2022-2028),,227628508.2,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Karnataka,Shri Ajay Makan (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Bihar,Shri Akhilesh Prasad Singh (2024-30) (2024-2030),,186200000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Uttar Pradesh,Shri Amar Pal Maurya (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Telangana,Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Himachal Pradesh,Shri Anurag Sharma (2026-32) (2026-2032),,49000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Uttar Pradesh,Shri Arun Singh (2020-26) (2020-2026),,223492764.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Madhya Pradesh,Shri Ashok Singh (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Maharashtra,Shri Ashokrao Shankarrao Chavan (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Odisha,Shri Ashwini Vaishnaw (2024-30) (2024-2030),,265563957.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Telangana,Shri B. Parthasaradhi Reddy (2022-28) (2022-2028),,244365104.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Uttar Pradesh,Shri B.L. Verma (2020-26) (2020-2026),,196063957.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Gujarat,Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029),,171500000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Uttar Pradesh,Shri Baburam Nishad (2022-28) (2022-2028),,196063957.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Jharkhand,Shri Baidyanath Ram (2026-32) (2026-2032),,49000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Madhya Pradesh,Shri Balyogi Umeshnath (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Madhya Pradesh,Shri Banshilal Gurjar (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Andhra Pradesh,Shri Bhashyam Rama Krishna (2026-32) (2026-2032),,49000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Assam,Shri Birendra Prasad Baishya (2025-31) (2025-2031),,98000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Uttar Pradesh,Shri Brij Lal (2020-26) (2020-2026),,196063957.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Kerala,Shri C. Sadanandan Master (2025-31) (2025-2031),,73500000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Nominated MP
Maharashtra,Shri Chandrakant Damodar Handore (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Jammu And Kashmir,Shri Chowdry Mohammad Ramzan (2025-31) (2025-2031),,73500000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Tamil Nadu,Shri Christopher Manickam (2026-32) (2026-2032),,49356476.5,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Rajasthan,Shri Chunnilal Garasiya (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Tamil Nadu,Shri Constandine Ravindran (2026-32) (2026-2032),,49356476.5,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Telangana,Shri Damodar Rao Divakonda (2022-28) (2022-2028),,239919406.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Odisha,Shri Debashish Samantaray (2026-30) (2026-2030),,23800006.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
West Bengal,Shri Derek O' Brien (2023-29) (2023-2029),,171500000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Chhattisgarh,Shri Devendra Pratap Singh (2024-30) (2024-2030),,170837637.8,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Maharashtra,Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028),,220383643.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Odisha,Shri Dilip Kumar Ray (2026-32) (2026-2032),,49000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Sikkim,Shri Dorjee Tshering Lepcha (2024-30) (2024-2030),,150170726.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Karnataka,Shri G.C. Chandrashekhar (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Rajasthan,Shri Ghanshyam Tiwari (2022-28) (2022-2028),,196063957.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Andhra Pradesh,Shri Golla Baburao (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Gujarat,Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030),,147000000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Jammu And Kashmir,Shri Gulam Ali (2022-28) (2022-2028),,196063957.1,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Nominated MP
Jammu And Kashmir,Shri Gurwinder Singh Oberoi (2025-31) (2025-2031),,73500000.0,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
Punjab,Shri Harbhajan Singh (2022-28) (2022-2028),,220984094.3,Rajya Sabha,Allocated Limit for Honble MPs (4).csv,Elected MP
